vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Buổi tối,Pên sadớu,Pên xa-ẩau,,,,Bru.txt
Buổi trưa,Pên tangái,Pên ta-ngay,,,,Bru.txt
Buổi trưa,Pên tơâng,pên tơâng,,,,Bru.txt
Buồn,Ngua,ngua,,,,Bru.txt
Buồn bã Lù khù Lừ đừ,Chưq,chưq,,,,Bru.txt
Buôn cổ,Vìl tiaq ruaq,Vìỉ tịaq rọaq,,,,Bru.txt
Buôn làng,Vỉl viang,Viỉ viang,,,,Bru.txt
Buồn nôn,ễq kuta,ễq kuta,,,,Bru.txt
Buồn ngủ,Ibếq,ibếq,,,,Bru.txt
Buông,Patáh,patáh,,,,Bru.txt
Buồng (chuối),Rakong,rakong,,,,Bru.txt
Buông thả,Panua pa-hỡm,Pa-noa pa-hơm,,,,Bru.txt
Buốt răng,Kahĩal,kahĩal,,,,Bru.txt
Bút chì,Sanĩk choi,sanĩk choi,,,,Bru.txt
Bút mực,Sanĩk santứm,Xa-nic xan-tưm,,,,Bru.txt
Bút viết,Sanìk chĩk,Xa-nỉc chic,,,,Bru.txt
Bữa ăn,Pêl cha,pêl cha,,,,Bru.txt
Bừa bãi,Tampríng,Tam-prìng,,,,Bru.txt
"Bừa bãi,  Bậy bạ","Tampríng, tamprơang","tampríng, tamprơang",,,,Bru.txt
Bức tường,Ratắng,Ra-tăng,,,,Bru.txt
"Bưng,  Nhấc..","Ayắq, akắq","ayắq, akắq",,,,Bru.txt
Bưởi,"Bươiq, băng","bươiq, băng",,,,Bru.txt
Bưởi,Nnhăq băng,nnhăq băng,,,,Bru.txt
Bướm,Long mong,long mong,,,,Bru.txt
Bướng,Ngian,ngian,,,,Bru.txt
Bướu,Padok,padok,,,,Bru.txt
Bứt,"Kứt, rơaiq","kứt, rơaiq",,,,Bru.txt
Bưu điện,Bữu diên,bữu diên,,,,Bru.txt
Cà,Ngkứng,ngkứng,,,,Bru.txt
Cá,Sĩaq,Xịaq,,,,Bru.txt
Cá chày,Sĩaq parlơau,sĩaq parlơau,,,,Bru.txt
Cá chép,Sĩaq phĩu,sĩaq phĩu,,,,Bru.txt
Cá chình,Sĩaq ching,sĩaq ching,,,,Bru.txt
Cà chua,Ngkứng nnhăq,Ưng-cùng ân-nhăq,,,,Bru.txt
Cà chua,Ngkứng nhăq,ngkứng nhăq,,,,Bru.txt
Cá chuối,Kluan,kluan,,,,Bru.txt
Cá gáy,Sĩaq rưm,sĩaq rưm,,,,Bru.txt
Cả ngày,Dếh tangái,dếh tangái,,,,Bru.txt
Cá nguồn,Asĩar,asĩar,,,,Bru.txt
Cá nheo,Sarũang,sarũang,,,,Bru.txt
Cà Phê,Kuphê,Cu-phê,,,,Bru.txt
Cá sấu,Tru,tru,,,,Bru.txt
Cá trê,Sakánh,sakánh,,,,Bru.txt
Cá trơn,Alir,alir,,,,Bru.txt
Cả…lẫn,Dếh… dếh,dếh… dếh,,,,Bru.txt
Các anh,Mũ ai,mũ ai,,,,Bru.txt
Các em,Mũ sễm,Mu xem,,,,Bru.txt
"Các, những",Mũ,mũ,,,,Bru.txt
Cách mạng,Kách mang,kách mang,,,,Bru.txt
Cách nói,Chua Tatỡng,chua tatỡng,,,,Bru.txt
Cãi,Suôn,suôn,,,,Bru.txt
"Cái bọc, Tổ",Sỗh,sỗh,,,,Bru.txt
Cái cặp,Kupâu saráq,Cu-pâu xa-rả-q,,,,Bru.txt
Cái dù,Kót (Ru),Cót (Rù),,,,Bru.txt
Cái dùi,Dũi,Đui,,,,Bru.txt
Cái gì,Akán ntrớu,A-căn ân-trâu,,,,Bru.txt
Cái giỏ,Adữ,adữ,,,,Bru.txt
Cái hố,Prúng,prúng,,,,Bru.txt
Cái kéo,Sarkìauq,Xar kỉau-q,,,,Bru.txt
Cái kim khâu,Sarứm,sarứm,,,,Bru.txt
Cái khóa cửa,Ralữơng klữơng toong,Ra-ỉương klương tơong Lơă-h tia-h,,,,Bru.txt
Cãi nhau,Rasuôn,rasuôn,,,,Bru.txt
Cam,Nnhăq kam,Ằn-nhảq cam,,,,Bru.txt
Cảm,A-ĩ mprơih,a-ĩ mprơih,,,,Bru.txt
Cám,Alứk,alứk,,,,Bru.txt
Cam,Kam,kam,,,,Bru.txt
Cảm cúm,A-ĩ ahuôr,A-ỉ a-huôr,,,,Bru.txt
Cảm nghĩ,Samóm tâng púng,Xar-nâm tâng pùng,,,,Bru.txt
Cảm ơn,Sa-ờn,Xa-ơn,,,,Bru.txt
Cảm ơn,Sa-ỡn,Xà-ơn,,,,Bru.txt
Cảm thấy,Sâng,Xâng,,,,Bru.txt
Cán,"Pluang, tong","pluang, tong",,,,Bru.txt
Cạn,Sarễt,sarễt,,,,Bru.txt
Cán bộ,Kan bổ,Can bô,,,,Bru.txt
Cán bộ,Kan bỗ,Can bô,,,,Bru.txt
Cán bộ huyện,Kan bỗ hiên,kan bỗ hiên,,,,Bru.txt
Can ngăn,"Sươq, siêq, katơaih","sươq, siêq, katơaih",,,,Bru.txt
Càng,La-ữt,La-ưt,,,,Bru.txt
Cánh,"Khlap, lapễng","khlap, lapễng",,,,Bru.txt
Canh,Raveh,Ra-veh,,,,Bru.txt
Cạnh (bên),Mukơah,mukơah,,,,Bru.txt
Cạnh (dt),"Akếnh, chíng","akếnh, chíng",,,,Bru.txt
Canh cà,Raveh ngkứng,Ra-veh âng-cừng,,,,Bru.txt
Cánh cam,"Kling klơng, pông klot","kling klơng, pông klot",,,,Bru.txt
Canh cánh,Bắng tabắng,bắng tabắng,,,,Bru.txt
Cánh cửa,Kantaih toong,Can-taỉ-h tòng,,,,Bru.txt
Cánh cửa,"Kantáih, tơong","kantáih, tơong",,,,Bru.txt
Cành chính,Apiam,apiam,,,,Bru.txt
Cảnh giác,Rơak,rơak,,,,Bru.txt
Cánh rừng,Lapễng sarứng,lapễng sarứng,,,,Bru.txt
Cánh tay,Lakễng atĩ,lakễng atĩ,,,,Bru.txt
Cánh tay,"Lapễng atĩ, lakễng","lapễng atĩ, lakễng",,,,Bru.txt
Cao,Sarỡih,sarỡih,,,,Bru.txt
Cáo,Pong krắh,pong krắh,,,,Bru.txt
Cạo,"Kỗr, kũah","kỗr, kũah",,,,Bru.txt
Cào (dt),Kũôq kanễng,kũôq kanễng,,,,Bru.txt
Cào cào,Lam tông,lam tông,,,,Bru.txt
Cao su,Aluang dìu,A-ỉoang điu,,,,Bru.txt
Cao su,"Kũ sũ, diuq","kũ sũ, diuq",,,,Bru.txt
Cao tay (phù thủy),Pla,pla,,,,Bru.txt
Cao vút,Laluiq,laluiq,,,,Bru.txt
"Cao, nhiều","Sarỡih, sa-ừi",Xa-rơi-h; xa-ưi,,,,Bru.txt
Cạp lụa,Lơap dam,lơap dam,,,,Bru.txt
Cát,Chũah,chũah,,,,Bru.txt
Cau,Panang,panang,,,,Bru.txt
Cau mày,Kutrĩu mơat,kutrĩu mơat,,,,Bru.txt
Cay,Hớr,hớr,,,,Bru.txt
Cày,Kái,kái,,,,Bru.txt
Cày ải,Kái palắh,kái palắh,,,,Bru.txt
Căm Pu Chia,Kám pu chia,kám pu chia,,,,Bru.txt
Căm thù,Par-ũar,par-ũar,,,,Bru.txt
Căm thù,"Pả-ũan, ũan","pả-ũan, ũan",,,,Bru.txt
Cắn,Káp,káp,,,,Bru.txt
Cắn (ngậm lại),Kubỗ,kubỗ,,,,Bru.txt
Căn nhà,Hong klống,hong klống,,,,Bru.txt
Căng,Kanháng,kanháng,,,,Bru.txt
Cẳng chân,"Nluang, nlong","nluang, nlong",,,,Bru.txt
Cắp,Takĩap,takĩap,,,,Bru.txt
"Cặp đôi, Chập lại",Parĩap,parĩap,,,,Bru.txt
Cắt,Kứt,Cựt,,,,Bru.txt
Cắt,"Rơaiq, kứt","rơaiq, kứt",,,,Bru.txt
Câm,Plăq,plăq,,,,Bru.txt
Cấm,Tỡ yỗn,tỡ yỗn,,,,Bru.txt
Cần,Nhuat,nhuat,,,,Bru.txt
Cần câu,Kứr,kứr,,,,Bru.txt
Cẩn thận,Samơât samơi,Xa-mơât xa-mơỉ,,,,Bru.txt
Cần thiết Khẩn cấp,Kơâp nhuat,kơâp nhuat,,,,Bru.txt
Cất dụng cụ để trèo,Líh,líh,,,,Bru.txt
Câu,Tabaíh,tabaíh,,,,Bru.txt
Cầu,"Kớu, parkuang dỡq","kớu, parkuang dỡq",,,,Bru.txt
Cấu,Sadễt,sadễt,,,,Bru.txt
Cậu,Kũq,kũq,,,,Bru.txt
Câu cá,Tabáil sĩaq,tabáil sĩaq,,,,Bru.txt
Câu cắm,"Tabễng, rabễng","tabễng, rabễng",,,,Bru.txt
Cầu cứu,Patúh,patúh,,,,Bru.txt
Cầu khỉ,Pardol doiq,pardol doiq,,,,Bru.txt
Cầu lông,Sók pamul púh,Xóc par-nul pủ-h,,,,Bru.txt
Cẩu thả,Manũi manai,Ma-nuỉ ma-naỉ,,,,Bru.txt
Cầu vồng,Prêng káng,prêng káng,,,,Bru.txt
Cầy,Sipiak,sipiak,,,,Bru.txt
Cấy,Sima,sima,,,,Bru.txt
Cây,Aluang,A-ỉoang,,,,Bru.txt
Cây (đàn),"Treh, kơâl","treh, kơâl",,,,Bru.txt
Cây ăn quả,Aluang cha palâi,A-ỉoang chapa-ỉâỉ,,,,Bru.txt
Cây bút,Sanĩk chĩk,Xa-nỉc-chỉc,,,,Bru.txt
Cây cảnh,Aluang paryữl,aluang paryữl,,,,Bru.txt
Cây cối,Aluang alái,A-ỉoang a-ỉay,,,,Bru.txt
Cây dại,Muar,muar,,,,Bru.txt
Cây duốc cá,Tô,tô,,,,Bru.txt
Cây đổ,Paring,paring,,,,Bru.txt
Cây họ cam,Nnhắq,nnhắq,,,,Bru.txt
Cầy hương,Sipiak blốh,sipiak blốh,,,,Bru.txt
Cây le,Alơai,alơai,,,,Bru.txt
Cây leo,"Pơar, vơar","pơar, vơar",,,,Bru.txt
Cấy lúa,Sabât saro,sabât saro,,,,Bru.txt
Cây lúp xúp,Rambũ,rambũ,,,,Bru.txt
Cây màng cua,Saréh,saréh,,,,Bru.txt
Cây mỗm lợn,Partut,partut,,,,Bru.txt
Cây mỡ lợn,Tarỡ,tarỡ,,,,Bru.txt
Cây pali (ăn người),Pali,pali,,,,Bru.txt
Cây phượng,Kơâl lĩm sapễt,Câl a-loang lỉm xa-pet,,,,Bru.txt
Cây rựa,Pria,pria,,,,Bru.txt
Cây sáo,Treh tarìal,Trelì ta-rỉal,,,,Bru.txt
Cây thần hộ mệnh,Sangkứn,sangkứn,,,,Bru.txt
Cây thước,Treh anơang,Tre-h a-nơcmg,,,,Bru.txt
Cây xanh,Kơâl rabũ,Câl ra-bu,,,,Bru.txt
Cò,Kalang klok,kalang klok,,,,Bru.txt
Cọ (cây),"Salo, tarễk","salo, tarễk",,,,Bru.txt
Cọ (đgt),Akil,akil,,,,Bru.txt
Có giá trị,Bữn kia,bữn kia,,,,Bru.txt
Có hiệu quả kinh tế,Tớt pơaih sanốk put,tớt pơaih sanốk put,,,,Bru.txt
Có hiệu quả kinh tế cao,Tớt pơaih sanok put,Tật paih xa-noc put,,,,Bru.txt
Cỏ may,Bát nhĩp,bát nhĩp,,,,Bru.txt
Có năng lực,Taráng o,taráng o,,,,Bru.txt
"Cò súng, Lẫy nỏ",Karvih,karvih,,,,Bru.txt
Co tay,Kurốq,kurốq,,,,Bru.txt
Có thể,Lứq pai,lứq pai,,,,Bru.txt
Có văn hóa,Bữn phễp rit 0,phep rit 0,,,,Bru.txt
Có văn hóa,Bữn phễp rit,bữn phễp rit,,,,Bru.txt
"Có, được",Bừn,Bưn,"Bữn sếq náq mansễm, sếq náq samiang ?","Bưn xế-q nả-q măn-xem,xế-q nả-q xa-mỉang?","Có bao nhiêu bạn nữ, bao nhiêu bạn nam?",Bru.txt
Cóc,Arơăq,arơăq,,,,Bru.txt
Cọc trâu,"Nơăk, năk","nơăk, năk",,,,Bru.txt
"Cọc, Que",Lák,lák,,,,Bru.txt
Còi cọc,"Lóng khóng, lăng nhăng","lóng khóng, lăng nhăng",,,,Bru.txt
Con,Kon,Con,,,,Bru.txt
Con bò,Ntrơăq,ntrơăq,,,,Bru.txt
Con cả,Klúng,klúng,,,,Bru.txt
Con cái,Kon akái,kon akái,,,,Bru.txt
Còn có,Nơâng bữn,Nâng-bưn,,,,Bru.txt
Con côi,Kon kumuiq,kon kumuiq,,,,Bru.txt
Con dâu,Kumán,kumán,,,,Bru.txt
Con đầu,Kon Klúng,Con cờ-ỉung,,,,Bru.txt
Con gà trống,Ntruôi tông,ntruôi tông,,,,Bru.txt
Con gái,Kon mansễm,Con măn-xem,"Kantóh muôi bữn pái náq mansễm, sõng náq samiang.","Can-tó-h muôi bưn pay nả-q măn-xem, xong nả-q xa-miang","Tổ một có ba bạn nữ, năm bạn nam.",Bru.txt
Con ghẻ,Kon lứm,kon lứm,,,,Bru.txt
Con hoẵng,Pỗih,pỗih,,,,Bru.txt
Con lớn lên,Kon tơâr,kon tơâr,,,,Bru.txt
Con ngươi,ắk rôiq,ắk rôiq,,,,Bru.txt
Con rể,Partiam,partiam,,,,Bru.txt
Con rể,"Plái hit, partiam","plái hit, partiam",,,,Bru.txt
Con tôi,Kon kứq,Con cửq,,,,Bru.txt
Con trai,Samiang,xa miang,"Kantóh muôi bữn pái náq mansễm, sõng náq samiang.","Can-tó-h muôi bưn pay nả-q măn-xem, xong nả-q xa-miang","Tổ một có ba bạn nữ, năm bạn nam.",Bru.txt
Con trai,Kon samiang,Con xa-mỉang,,,,Bru.txt
Con út,Kon rayoi,Con ra-doi,,,,Bru.txt
Con vật,Akán,akán,,,,Bru.txt
"Còn, Nữa",Nơâng,nơâng,,,,Bru.txt
Cong,Kơok,kơok,,,,Bru.txt
Còng,Takô,takô,,,,Bru.txt
Cóng,"Kimal kơang, satruan, kok","kimal kơang, satruan, kok",,,,Bru.txt
Cong cong,Kơok Kơok,kơok kơok,,,,Bru.txt
Cõng Địu,Peq,peq,,,,Bru.txt
Cô,Takong,Ta-cong,,,,Bru.txt
Cố,Kanháq,kanháq,,,,Bru.txt
Cô dâu,Niang chám dông,Niang chăm đông,,,,Bru.txt
Cô dâu,Niang chám dống,niang chám dống,,,,Bru.txt
cố gắng,Alơăh rêng rangứh,A-ỉăh rêng ra-ngứh,,,,Bru.txt
Cố gắng,Katóng,Ca-tong,,,,Bru.txt
Cô giáo,Avia karu,A-via cà-rù,,,,Bru.txt
Cổ tay,"Ranán priêi, sarkăng priêi","ranán priêi, sarkăng priêi",,,,Bru.txt
"Cô, Dì, Thím",Avia,avia,,,,Bru.txt
Cốc,Kutăk (kachok),Cu-tắc (ca-chooc),,,,Bru.txt
Cối,Tapái,tapái,,,,Bru.txt
Cội nguồn,Avial,avial,,,,Bru.txt
Cốm,Mpứm,mpứm,,,,Bru.txt
Cồng,Kuang,Coang,,,,Bru.txt
Công cuộc cách mạng,Ranáq kach mang,ranáq kach mang,,,,Bru.txt
Cộng đồng,Talúq kũai,talúq kũai,,,,Bru.txt
Cống hiến,Alơăh rêng,alơăh rêng,,,,Bru.txt
Công lao to lớn,Kóng rêng put,kóng rêng put,,,,Bru.txt
Công ơn,Ỡn ranáq,Cách mang,,,,Bru.txt
Công sức,Kống rêng,kống rêng,,,,Bru.txt
Công sức,Rêng rangứl,rêng rangứl,,,,Bru.txt
Cộng vào (phép cộng),Akứp,akứp,,,,Bru.txt
Công việc,Ranáq,Ra-nảq,,,,Bru.txt
Cột,Chắq,Chẳ-q,,,,Bru.txt
Cột,Tanũl,tanũl,,,,Bru.txt
Cốt rượu,"Tabáh, achéh","tabáh, achéh",,,,Bru.txt
Cột vách,Santăng,santăng,,,,Bru.txt
Cơ quan,Dống táq ranáq,Đông tảq ra-nảq,,,,Bru.txt
Cơ quan,Dống ranáq,dống ranáq,,,,Bru.txt
Cơ sở cách mạng,Parlỗ kach mang,parlỗ kach mang,,,,Bru.txt
Cơ thể khỏe mạnh,Tô chák bánh rêng,Tô chác bánh rêng,,,,Bru.txt
Cởi,Tưỗt,Tuôt,,,,Bru.txt
Cởi,Tũôt,tũôt,,,,Bru.txt
Cơm,Dỗi,Đôi,,,,Bru.txt
Cơm cháy,Ntriang,ntriang,,,,Bru.txt
Cơm không độn,Dỗi miat,dỗi miat,,,,Bru.txt
Cơm lam,Dỗi hũr,dỗi hũr,,,,Bru.txt
Cơn,Trỗ,trỗ,,,,Bru.txt
Cù,Kadỡiq,kadỡiq,,,,Bru.txt
Củ,Kỗk,kỗk,,,,Bru.txt
Cũ,Tiaq,tiaq,,,,Bru.txt
Cú,Kuróq,kuróq,,,,Bru.txt
Cụ bà,Ayê,ayê,,,,Bru.txt
Củ đậu,Ráng táu,ráng táu,,,,Bru.txt
Củ mài,Pơong tễng,pơong tễng,,,,Bru.txt
Củ mài say,Lampơong,lampơong,,,,Bru.txt
Củ mỡ,Pơong rala,pơong rala,,,,Bru.txt
Củ ráy,Klư,klư,,,,Bru.txt
Củ từ,Pơong kupóng,pơong kupóng,,,,Bru.txt
Của,Hán,Hãn,,,,Bru.txt
Của (ai),Kudỗ,kudỗ,,,,Bru.txt
Của ai đây,Hán ai ki,hán ai ki,,,,Bru.txt
Của anh,Hân ai,Hàn ai,,,,Bru.txt
Của anh,Hán ai,hán ai,,,,Bru.txt
Của cải,Sanốk ntữn,sanốk ntữn,,,,Bru.txt
Của chúng tôi,Hán hếq,hán hếq,,,,Bru.txt
Cua đồng,Ariang kumo,ariang kumo,,,,Bru.txt
Của họ,Hán alơâi,hán alơâi,,,,Bru.txt
Của quân đội,Tễ líng,tễ líng,,,,Bru.txt
Của tôi,Hán kửq,Hăn cửq,,,,Bru.txt
Cúc,"Vễn, nũôt","vễn, nũôt",,,,Bru.txt
Cúc cu,Trốh trốh,trốh trốh,,,,Bru.txt
Cục tác,Kutak,kutak,,,,Bru.txt
Cục tây,Ãk chut,Ac chut,,,,Bru.txt
Cục tẩy,Kulỗiq chut,kulỗiq chut,,,,Bru.txt
"Cục, hòn",Kốk,kốk,,,,Bru.txt
Cúi,Ngũq,Ngụ-q,,,,Bru.txt
Củi – lửa,Ũih,ũih,,,,Bru.txt
Cùi (dừa),Khlũ,khlũ,,,,Bru.txt
Cùi tay,Kũt kễng,kũt kễng,,,,Bru.txt
Cúm,"Ahuôr sảo, mprơih","ahuôr sảo, mprơih",,,,Bru.txt
Cùn,Lui,lui,,,,Bru.txt
Cung,Ratóng tamĩang,ratóng tamĩang,,,,Bru.txt
Cùng,Mpruam,Ẫm-pơ-ruam,,,,Bru.txt
Cùng,Tê,tê,,,,Bru.txt
Cũng,Nơâm,Nầm,,,,Bru.txt
Cúng,Tơãng,Tăng,,,,Bru.txt
Cúng,Tơăng,tơăng,,,,Bru.txt
Cũng được,Nơâm têq,Nầm tệq,,,,Bru.txt
Cúng giỗ Cúng tế,Tơăng tứk,tơăng tứk,,,,Bru.txt
Cùng lúc,Prớh,prớh,,,,Bru.txt
Cúng thần săn bắn,Chám prian,chám prian,,,,Bru.txt
Cúng vũng,Kơang,Căng,,,,Bru.txt
"Cúng, tế","Tơăng, tứk","Tăng, tức",,,,Bru.txt
Cuốc,Kũôk (Sakơoh),Cuốc (Xa-coh),,,,Bru.txt
Cuốc,Kũôk,kũôk,,,,Bru.txt
Cuốc,Sakơoh,sakơoh,,,,Bru.txt
Cuộc (vui) Vung,Pang,pang,,,,Bru.txt
Cuốc đất,Sakơoh kutễq,Xa-coh ku-tẹq,,,,Bru.txt
Cuộc sông,Pang ỡt cha,Pang ơt cha,,,,Bru.txt
Cuối cùng,Parsốt,parsốt,,,,Bru.txt
Cuốn,"Pĩal, yial","pĩal, yial",,,,Bru.txt
Cuốn (lá),Pâng,pâng,,,,Bru.txt
Cuống (lá),"Tam bỡt, tabỡt, atah, kơau","tam bỡt, tabỡt, atah, kơau",,,,Bru.txt
Cứ,"Kuviêk, ník","kuviêk, ník",,,,Bru.txt
Cửa,Panớh,panớh,,,,Bru.txt
Cửa,Tơong,tơong,,,,Bru.txt
Cưa (dt),Kanữơ,kanữơ,,,,Bru.txt
Cưa (đgt),"Sốt, kữơ","sốt, kữơ",,,,Bru.txt
Cựa (gà),"Ngkéh, sakéh","ngkéh, sakéh",,,,Bru.txt
Cửa (sông),Piak krỗng,piak krỗng,,,,Bru.txt
Cửa khẩu,Panớh Ralán kuruang,panớh ralán kuruang,,,,Bru.txt
Cửa lớn,Toong alúh,Tơong a-lú-h,,,,Bru.txt
Cựa quậy,Rachâu,rachâu,,,,Bru.txt
Cửa ra vào,Tơong mut lơăh,Tơong mut ỉơă-h,,,,Bru.txt
Cửa sổ,Toong tamăk,Tơong ta-mắc,,,,Bru.txt
Cứng,"Kơang, lêng","kơang, lêng",,,,Bru.txt
Cười,Kacháng,Ca-chăng,,,,Bru.txt
Cười,Kacháng kubũiq,kacháng kubũiq,,,,Bru.txt
Cưỡi,Kléh,kléh,,,,Bru.txt
Cưới Đám cưới,Rabễng,rabễng,,,,Bru.txt
Cưới hỏi,Rakơâiq ra-ĩt,rakơâiq ra-ĩt,,,,Bru.txt
Cười vui,Karcháng karchũk,karcháng karchũk,,,,Bru.txt
"Cướp nước, xâm lược",Lôp kuruang,lôp kuruang,,,,Bru.txt
Cứt,Kréq,kréq,,,,Bru.txt
Cứu,Ayăq,ayăq,,,,Bru.txt
Cứu nước,Ayăq kuruang,ayăq kuruang,,,,Bru.txt
Cứu nước,Ayắq kuruang,ayắq kuruang,,,,Bru.txt
"Cha, bố, ba",Mpơaq,Ầm-pả-q,,,,Bru.txt
Chạc cây,Kiaq,kiaq,,,,Bru.txt
Chạc cây chặt rời,Tanlơaq,tanlơaq,,,,Bru.txt
Chạch,Anhễt,anhễt,,,,Bru.txt
Chai,Chai,chai,,,,Bru.txt
Chải 1,Siêt,Xỉêt,,,,Bru.txt
Chan,Sarơâu,sarơâu,,,,Bru.txt
Chan hòa,Sarlũô,sarlũô,,,,Bru.txt
"Chan hòa, đầm ấm",Ranhêq ranhuam,ranhêq ranhuam,,,,Bru.txt
Chán Thua,Pê,pê,,,,Bru.txt
Chanh,Chễng,chễng,,,,Bru.txt
Chanh,Nnhăq chễng,nnhăq chễng,,,,Bru.txt
Chào,Bánh hờ,Banh hơ,,,,Bru.txt
Chào,"Kubánh, karlỡih","kubánh, karlỡih",,,,Bru.txt
Chảo,Adeh sễng,adeh sễng,,,,Bru.txt
Cháo,Dũih,dũih,,,,Bru.txt
Chào (dt),Karlỡi,karlỡi,,,,Bru.txt
Chào (dt),Karlỡih (tabỡp),Car-lơi-h (ta-bơp ),,,,Bru.txt
Chào hỏi,"Kubánh, karhanh","kubánh, karhanh",,,,Bru.txt
Chào nhau Chúc nhau,Karbánh,karbánh,,,,Bru.txt
"Chào, xin chào (đgt)",Bánh hỡ,bánh hỡ,Bánh hỡ Avia karu !,Bảnh hơ a-via cà-rù,Chúng em chào cô !,Bru.txt
"Cháu (đối với ông, bà)",Châu,châu,,,,Bru.txt
"Cháu(đối với chu, bác)","Ramon, amon","ramon, amon",,,,Bru.txt
Chày,Ntri,ntri,,,,Bru.txt
Chảy,Hoi,hoi,,,,Bru.txt
Cháy,Kat,kat,,,,Bru.txt
Chạy,Lúh,Lúh,,,,Bru.txt
Chạy,Lúh',Lu-h,,,,Bru.txt
Chạy đi trước,Lúh puai pơq nnhũang,lúh puai pơq nnhũang,,,,Bru.txt
Cháy lan,Trăh,trăh,,,,Bru.txt
Chạy nọc,Tatái,tatái,,,,Bru.txt
Cháy rừng,Trắh,trắh,,,,Bru.txt
Chạy trốn,Lúh tưoq,lúh tưoq,,,,Bru.txt
Chảy xiết,"Kơar, hâp","kơar, hâp",,,,Bru.txt
"Chạy xuôi, chạy ngược Ùa tới",Karlúh,karlúh,,,,Bru.txt
Chắc (hạt),Chong,chong,,,,Bru.txt
Chăm chỉ,Lachĩp lachũp,La-chip ỉa-chup,,,,Bru.txt
Chăm chỉ,Dốk dũi,dốk dũi,,,,Bru.txt
Chăm sóc,Alĩ alái,alĩ alái,,,,Bru.txt
Chăn,Ayỡ,A-dơ,,,,Bru.txt
Chẵn,Ku,ku,,,,Bru.txt
Chặn đầu,Katáng plỡ,Ca-tăng pờ-ỉơ,,,,Bru.txt
Chắn gió,Klơan kuyal,klơan kuyal,,,,Bru.txt
Chặn lên,Katớm,katớm,,,,Bru.txt
Chăn nuôi,Bán mantán,Băn mãn-tăn,,,,Bru.txt
Chắp,Tabai,tabai,,,,Bru.txt
Chắt,Chễ,chễ,,,,Bru.txt
Chặt (đt),"Pơâiq, kắh, tamư","pơâiq, kắh, tamư",,,,Bru.txt
Chặt (tt),Khâm,khâm,,,,Bru.txt
Chặt chẽ,Kachơap o,kachơap o,,,,Bru.txt
Chặt phá,Pơâiq talốh,pơâiq talốh,,,,Bru.txt
Chặt phá,Tal talốh,tal talốh,,,,Bru.txt
Chấm,Tốq,tốq,,,,Bru.txt
Chậm,"Yũt, kro","yũt, kro",,,,Bru.txt
Chậm chạp,Khlâu,khlâu,,,,Bru.txt
Chậm hiểu,Dáng kro,Đãng ca-ro,,,,Bru.txt
Chậm phát triển,Kro liêi,kro liêi,,,,Bru.txt
Chân,Ayững,A-dưng,,,,Bru.txt
Chân lý,Ák karâi,ák karâi,,,,Bru.txt
Chân tình,Lambỡ bỡ,lambỡ bỡ,,,,Bru.txt
Chật,"Tudat, kơat","tudat, kơat",,,,Bru.txt
Chất độc tố,Krơng bũl,krơng bũl,,,,Bru.txt
Chật ních,Katăq,katăq,,,,Bru.txt
Chậu,"Tháu, khanpuang dỡq","tháu, khanpuang dỡq",,,,Bru.txt
Châu chấu,Lam kuôq,lam kuôq,,,,Bru.txt
Châu chấu voi,Lam reh,lam reh,,,,Bru.txt
Chấy,Nhchĩ,nhchĩ,,,,Bru.txt
Chẻ,Páh,páh,,,,Bru.txt
Chẻ nhỏ,Srễk,srễk,,,,Bru.txt
Chém,Pơâiq,pơâiq,,,,Bru.txt
Chém nhau,Rapơâiq,rapơâiq,,,,Bru.txt
Chém phăng,Katráiq,katráiq,,,,Bru.txt
Chen,Nêt,nêt,,,,Bru.txt
Chen giữa,"Takláp, talám","takláp, talám",,,,Bru.txt
"Chèn, Kê lên, Lót",Kưl,kưl,,,,Bru.txt
Chèo,"Trễu, vơah","trễu, vơah",,,,Bru.txt
Chéo,Bễng nhong,bễng nhong,,,,Bru.txt
Chèo bẻo,Kalỗi,kalỗi,,,,Bru.txt
Chê bai,Bonh,bonh,,,,Bru.txt
Chê Trách,"Tếq, mahắq","tếq, mahắq",,,,Bru.txt
Chết,Kuchĩt,kuchĩt,,,,Bru.txt
Chết héo,Răh,răh,,,,Bru.txt
Chết sạch,Tróh,tróh,,,,Bru.txt
Chì,"Sakũô, trak","sakũô, trak",,,,Bru.txt
Chỉ,Sadoi,sadoi,,,,Bru.txt
Chị,Ỡi,ơi,,,,Bru.txt
Chỉ có,"Chíq, ống, bíq","chíq, ống, bíq",,,,Bru.txt
Chỉ đàn gia cầm đông đúc,Puprứk,puprứk,,,,Bru.txt
Chỉ khâu,"Pariêi, kansánh","pariêi, kansánh",,,,Bru.txt
Chi phối,Kalơam,kalơam,,,,Bru.txt
Chị ruột,Ỡi ruaiq (amuaq),ỡi ruaiq (amuaq),,,,Bru.txt
Chia,Tampễq,tampễq,,,,Bru.txt
Chĩa (đgt),Ato,ato,,,,Bru.txt
Chỉa ba,Sarĩ,sarĩ,,,,Bru.txt
Chia đều,Tampễq li,tampễq li,,,,Bru.txt
Chia ra,Yơah tampễq,yơah tampễq,,,,Bru.txt
"Chia ra,  Rời ra, Tách rời",Kayơah,kayơah,,,,Bru.txt
Chia sẻ,Sa – óh,sa – óh,,,,Bru.txt
